latitude,longitude,port,mmsi,port_unique
55.449872,10.664197,31,219250000,31_3
55.449882,10.663578,31,219167000,31_3
55.450283,8.408693,32,219000604,32_3
55.450368,8.408753,32,219029233,32_3
55.453668,12.186577,33,219023752,33_3
55.454055,12.196388,33,219000551,33_3
55.454403,12.19156,33,246483000,33_3
55.455552,12.19694,33,219026000,33_3
55.457352,12.20057,33,209014000,33_3
55.455297,8.44074,34,244750825,34_3
55.455698,8.449387,34,995750021,34_3
55.457662,8.447988,34,258514000,34_3
55.457847,8.442368,34,219020041,34_3
55.458412,8.449852,34,257024000,34_3
55.460383,8.450233,34,219029726,34_3
55.460432,8.4403,34,219000603,34_3
55.460435,8.446852,34,246819000,34_3
55.460497,8.44698,34,246818000,34_3
55.460703,8.439647,34,219000604,34_3
55.460787,8.439772,34,219029233,34_3
55.461523,8.443255,34,219009101,34_3
55.462,8.437333,34,219615000,34_3
55.462192,8.44409,34,219014222,34_3
55.462202,8.443895,34,219043000,34_3
55.462593,8.442127,34,219009000,34_3
55.462672,8.444893,34,219679000,34_3
55.462792,8.445357,34,219000161,34_3
55.46302,8.442108,34,219017938,34_3
55.46312,8.445975,34,219027893,34_3
55.463247,8.442155,34,219009432,34_3
55.463488,8.445925,34,219022047,34_3
55.463645,8.445397,34,219570000,34_3
55.464018,8.443833,34,220446000,34_3
55.464082,8.44228,34,219669000,34_3
55.456088,12.244393,35,219461000,35_3
55.458353,12.240857,35,219001819,35_3
55.45979,12.202585,36,244770997,36_3
55.462067,12.202653,36,219000195,36_3
55.464043,12.202727,36,210544000,36_3
55.466317,12.2029,36,341412000,36_3
55.464398,8.44302,37,219016597,37_3
55.464603,8.44327,37,219034001,37_3
55.464617,8.442678,37,219021578,37_3
55.465092,8.43231,37,232008874,37_3
55.465428,8.433992,37,255915569,37_3
55.46676,8.435652,37,219616000,37_3
55.466973,8.435382,37,258687000,37_3
55.468072,8.433728,37,232054785,37_3
55.468802,8.43288,37,219022580,37_3
55.466022,10.527873,38,219348000,38_3
55.467683,10.528803,38,219024597,38_3
55.46809,10.530708,38,219024175,38_3
55.468682,10.531583,38,219032995,38_3
55.468895,10.530088,38,219011283,38_3
55.47005,10.536922,38,219006099,38_3
55.470492,10.536388,38,257100000,38_3
55.470563,10.539565,38,228085000,38_3
55.470685,10.534002,38,257182000,38_3
55.470935,10.536718,38,209952000,38_3
55.46874,12.195513,39,219003315,39_3
55.469425,12.19323,39,219032650,39_3
55.469653,12.193852,39,219012331,39_3
55.46982,12.194598,39,219030557,39_3
55.469957,12.193278,39,219015403,39_3
55.471342,12.194598,39,219024077,39_3
55.470692,8.423887,40,219029698,40_3
55.471715,8.424192,40,219000771,40_3
55.471715,8.423818,40,219001959,40_3
55.471727,8.423268,40,2190045,40_3
55.471737,8.424252,40,219024783,40_3
55.471795,8.423383,0,2190045,0_4
55.471795,8.42435,0,219024783,0_4
55.471795,8.42416,0,219000771,0_4
55.4718,8.424883,0,219001266,0_4
55.472138,8.421617,0,219029698,0_4
55.472415,8.426425,0,244834000,0_4
55.47242,8.422173,0,232040897,0_4
55.472573,8.426705,0,219017273,0_4
55.47261,8.426853,0,219010252,0_4
55.472798,8.425378,0,219000618,0_4
55.473142,8.423013,0,235102532,0_4
55.473163,8.423642,0,220228000,0_4
55.473233,8.424163,0,219019804,0_4
55.473297,8.425768,0,219011225,0_4
55.473343,8.423805,0,219003561,0_4
55.473382,8.423958,0,219011867,0_4
55.473408,8.424073,0,219001189,0_4
55.473433,8.424695,0,219001695,0_4
55.473507,8.426165,0,219001265,0_4
55.473515,8.422757,0,219019936,0_4
55.473533,8.42435,0,219009041,0_4
55.473683,8.425497,0,219459000,0_4
55.47407,8.420617,0,219033166,0_4
55.47409,8.42571,0,244750825,0_4
55.47439,8.42028,0,219025992,0_4
55.474832,8.42033,0,219031153,0_4
55.474973,8.424453,0,219028839,0_4
55.47508,8.42448,0,219001771,0_4
55.475155,8.421952,0,219026489,0_4
55.475223,8.421572,0,219019934,0_4
55.475288,8.422543,0,219026490,0_4
55.475667,8.4231,0,219013179,0_4
55.476087,8.414433,0,219027992,0_4
55.476127,8.413825,0,677064088,0_4
55.477115,8.416957,0,219381000,0_4
55.4774,8.41353,0,219171000,0_4
55.477562,8.414572,0,277547000,0_4
55.477662,8.414922,0,277346000,0_4
55.478185,8.41271,0,219026231,0_4
55.47828,8.41854,0,219812000,0_4
